iteration,EPT,EPI
100,1.886E-02,0.000E+00
200,1.761E-02,0.000E+00
300,1.582E-02,0.000E+00
400,1.633E-02,0.000E+00
500,1.037E-02,0.000E+00
600,1.141E-02,0.000E+00
700,1.295E-02,0.000E+00
800,1.298E-02,0.000E+00
900,1.305E-02,0.000E+00
1000,1.157E-02,0.000E+00
1100,1.122E-02,0.000E+00
1200,1.291E-02,0.000E+00
1300,1.303E-02,0.000E+00
1400,1.380E-02,0.000E+00
1500,1.276E-02,0.000E+00
1600,1.235E-02,0.000E+00
1700,1.641E-02,0.000E+00
1800,1.495E-02,0.000E+00
1900,2.001E-02,0.000E+00
2000,1.683E-02,0.000E+00
2100,1.669E-02,0.000E+00
2200,1.701E-02,0.000E+00
2300,1.878E-02,0.000E+00
2400,2.162E-02,0.000E+00
2500,2.056E-02,0.000E+00
2600,1.485E-02,0.000E+00
2700,1.189E-02,0.000E+00
2800,9.316E-03,0.000E+00
2900,9.299E-03,0.000E+00
3000,9.194E-03,0.000E+00
3100,8.192E-03,0.000E+00
3200,7.213E-03,0.000E+00
3300,6.461E-03,0.000E+00
3400,5.723E-03,0.000E+00
3500,5.483E-03,0.000E+00
3600,4.752E-03,0.000E+00
3700,4.465E-03,0.000E+00
3800,4.204E-03,0.000E+00
3900,3.855E-03,0.000E+00
4000,3.689E-03,0.000E+00
4100,3.498E-03,0.000E+00
4200,3.246E-03,0.000E+00
4300,3.000E-03,0.000E+00
4400,2.670E-03,0.000E+00
4500,2.394E-03,0.000E+00
4600,2.394E-03,0.000E+00
4700,1.956E-03,0.000E+00
4800,1.730E-03,0.000E+00
4900,1.534E-03,0.000E+00
5000,1.404E-03,0.000E+00
5100,1.138E-03,0.000E+00
5200,9.200E-04,0.000E+00
5300,8.097E-04,0.000E+00
5400,6.568E-04,0.000E+00
5500,5.311E-04,0.000E+00
5600,4.305E-04,0.000E+00
5700,3.549E-04,0.000E+00
5800,3.055E-04,0.000E+00
5900,2.604E-04,0.000E+00
6000,2.216E-04,0.000E+00
6100,1.897E-04,0.000E+00
6200,1.610E-04,0.000E+00
6300,1.369E-04,0.000E+00
6400,1.163E-04,0.000E+00
6500,9.799E-05,0.000E+00
6600,8.307E-05,0.000E+00
6700,7.217E-05,0.000E+00
6800,6.346E-05,0.000E+00
6900,5.959E-05,0.000E+00
7000,5.902E-05,0.000E+00
7100,5.852E-05,0.000E+00
7200,5.805E-05,0.000E+00
7300,5.759E-05,0.000E+00
7400,5.717E-05,0.000E+00
7500,5.676E-05,0.000E+00
7600,5.631E-05,0.000E+00
7700,5.587E-05,0.000E+00
7800,5.545E-05,0.000E+00
7900,5.501E-05,0.000E+00
8000,5.459E-05,0.000E+00
8100,5.422E-05,0.000E+00
8200,5.384E-05,0.000E+00
8300,5.344E-05,0.000E+00
8400,5.309E-05,0.000E+00
8500,5.272E-05,0.000E+00
8600,5.234E-05,0.000E+00
8700,5.199E-05,0.000E+00
8800,5.165E-05,0.000E+00
8900,5.131E-05,0.000E+00
9000,5.098E-05,0.000E+00
9100,5.065E-05,0.000E+00
9200,5.033E-05,0.000E+00
9300,4.999E-05,0.000E+00
9400,4.969E-05,0.000E+00
9500,4.939E-05,0.000E+00
9600,4.908E-05,0.000E+00
9700,4.879E-05,0.000E+00
9800,4.849E-05,0.000E+00
9900,4.819E-05,0.000E+00
10000,4.790E-05,0.000E+00
10100,4.763E-05,0.000E+00
10200,4.735E-05,0.000E+00
10300,4.706E-05,0.000E+00
